Type,New_Renew,Level,Year,Month,org
Dept,New,Bronze,2015,Apr,"University of Leeds, School of Psychology"
Dept,New,Bronze,2015,Apr,"University of Leicester, School of Medicine"
Dept,New,Bronze,2015,Apr,"University of Lincoln, School of Computer Science"
Dept,New,Bronze,2015,Apr,"University of Lincoln, School of Sport and Exercise Science"
Dept,New,Bronze,2015,Apr,"University of Oxford, Department of Zoology"
Dept,New,Bronze,2015,Apr,"University of Portsmouth, Department of Psychology"
Dept,New,Bronze,2015,Apr,"University of Portsmouth, School of Biological Sciences"
Dept,New,Bronze,2015,Apr,"University of Sheffield, Mechanical Engineering"
Dept,New,Bronze,2015,Apr,"University of St Andrews, School of Biology"
Dept,New,Bronze,2015,Apr,"University of St Andrews, School of Medicine"
Dept,New,Bronze,2015,Apr,"University of Stirling, Division of Biological and Environmental Sciences"
Dept,New,Bronze,2015,Apr,"University of Stirling, School of Health Sciences"
Dept,New,Bronze,2015,Apr,"University of Strathclyde, Department of Design, Manufacture and Engineering Management"
Dept,Renewal,Bronze,2015,Apr,"Imperial College London, Department of Life Sciences"
Dept,Renewal,Bronze,2015,Apr,"Queen Mary, University of London, School of Engineering and Materials Science"
Dept,Renewal,Bronze,2015,Apr,"Swansea University, College of Human and Health Sciences"
Dept,Renewal,Bronze,2015,Apr,"University of Bristol, School of Chemistry"
Dept,Renewal,Bronze,2015,Apr,"University of Manchester, School of Medicine"
Dept,Renewal,Bronze,2015,Apr,"University of Manchester, School of Nursing, Midwifery and Social Work"
Dept,Renewal,Bronze,2015,Apr,"University of Oxford, Department of Oncology"
Dept,Renewal,Bronze,2015,Apr,"University of Oxford, Nuffield Department of Surgical Sciences (NDS)"
Dept,Renewal,Bronze,2015,Apr,"University of Oxford, Radcliffe Department of Medicine"
Institution,New,Bronze,2015,Apr,Bournemouth University
Institution,New,Bronze,2015,Apr,British Antarctic Survey
Institution,New,Bronze,2015,Apr,Edge Hill University
Institution,New,Bronze,2015,Apr,United Kingdom Atomic Energy Authority
Institution,New,Bronze,2015,Apr,University of Huddersfield
Institution,New,Bronze,2015,Apr,University of Hull
Institution,New,Bronze,2015,Apr,University of Northumbria at Newcastle
Institution,Renewal,Bronze,2015,Apr,University of York
Dept,Renewal,Gold,2015,Apr,"University of York, Department of Chemistry"
Dept,New,Silver,2015,Apr,"King’s College London, Division of Immunology, Infection and Inflammatory Diseases"
Dept,New,Silver,2015,Apr,"Newcastle University, Institute of Genetic Medicine"
Dept,New,Silver,2015,Apr,"University College London, Institute of Neurology"
Dept,New,Silver,2015,Apr,"University College London, UCL Institute of Cardiovascular Science"
Dept,New,Silver,2015,Apr,"University of Bristol, School of Clinical Sciences"
Dept,New,Silver,2015,Apr,"University of Glasgow, Institute of Health and Wellbeing"
Dept,New,Silver,2015,Apr,"University of Liverpool, Institute of Psychology, Health & Society"
Dept,New,Silver,2015,Apr,"University of Manchester, School of Dentistry"
Dept,New,Silver,2015,Apr,"University of Oxford, Department of Biochemistry"
Dept,New,Silver,2015,Apr,"University of Oxford, Department of Chemistry"
Dept,New,Silver,2015,Apr,"University of Oxford, Department of Experimental Psychology"
Dept,New,Silver,2015,Apr,"University of Oxford, Department of Paediatrics"
Dept,New,Silver,2015,Apr,"University of Oxford, Department of Physiology, Anatomy and Genetics (DPAG)"
Dept,New,Silver,2015,Apr,"University of Oxford, Nuffield Department of Clinical Neurosciences"
Dept,New,Silver,2015,Apr,"University of Oxford, Nuffield Department of Obstetrics and Gynaecology"
Dept,New,Silver,2015,Apr,"University of Oxford, Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences"
Dept,New,Silver,2015,Apr,"University of Oxford, Nuffield Department of Population Health"
Dept,New,Silver,2015,Apr,"University of Oxford, Sir William Dunn School of Pathology"
Dept,New,Silver,2015,Apr,"University of Southampton, Faculty of Medicine"
Dept,Renewal,Silver,2015,Apr,"Imperial College London, Department of Physics"
Dept,Renewal,Silver,2015,Apr,"Queen’s University Belfast, School of Geography, Archaeology and Palaeoecology"
Dept,Renewal,Silver,2015,Apr,"Royal Holloway, Department of Physics"
Dept,Renewal,Silver,2015,Apr,"University College London, Department of Biochemical Engineering"
Dept,Renewal,Silver,2015,Apr,"University of Manchester, Faculty of Life Sciences"
Dept,Renewal,Silver,2015,Apr,"University of Manchester, School of Chemical Engineering and Analytical Science"
Institution,Renewal,Silver,2015,Apr,University College London
Institution,Renewal,Silver,2015,Apr,University of Edinburgh
Dept,New,Bronze,2014,Nov,Brighton and Sussex Medical School
Dept,New,Bronze,2014,Nov,Cardiff University – School of Mathematics
Dept,New,Bronze,2014,Nov,Cardiff University – School of Optometry and Vision Sciences
Dept,New,Bronze,2014,Nov,Imperial College London – Department of Aeronautics
Dept,New,Bronze,2014,Nov,Keele University – School of Health and Rehabilitation
Dept,New,Bronze,2014,Nov,King’s College London – Division of Cancer Studies
Dept,New,Bronze,2014,Nov,King’s College London – Division of Genetics & Molecular Medicine
Dept,New,Bronze,2014,Nov,King’s College London – Division of Health and Social Care Research
Dept,New,Bronze,2014,Nov,King’s College London – Randall Division of Cell & Molecular Biophysics
Dept,New,Bronze,2014,Nov,Lancaster University – Department of Psychology
Dept,New,Bronze,2014,Nov,Medway School of Pharmacy
Dept,New,Bronze,2014,Nov,Newcastle University – Computing Science
Dept,New,Bronze,2014,Nov,Newcastle University – Institute for Cell and Molecular Bioscience
Dept,New,Bronze,2014,Nov,Newcastle University – School of Biology
Dept,New,Bronze,2014,Nov,Newcastle University – School of Dental Sciences
Dept,New,Bronze,2014,Nov,Newcastle University – School of Medical Education
Dept,New,Bronze,2014,Nov,Plymouth University – Peninsula Schools of Medicine and Dentistry
Dept,New,Bronze,2014,Nov,Royal Holloway – Department of Geography
Dept,New,Bronze,2014,Nov,Royal Holloway – School of Biological Sciences
Dept,New,Bronze,2014,Nov,Swansea University – College of Science
Dept,New,Bronze,2014,Nov,University College London – Department of Statistical Science
Dept,New,Bronze,2014,Nov,University College London – Institute for Global Health
Dept,New,Bronze,2014,Nov,University College London – School of Pharmacy
Dept,New,Bronze,2014,Nov,University of Bath – Department of Mechanical Engineering
Dept,New,Bronze,2014,Nov,University of Birmingham – School of Mechanical Engineering
Dept,New,Bronze,2014,Nov,"University of Birmingham – School of Sport, Exercise & Rehabilitation Sciences"
Dept,New,Bronze,2014,Nov,University of Bristol – Queens School of Engineering
Dept,New,Bronze,2014,Nov,University of Bristol – School of Biochemistry
Dept,New,Bronze,2014,Nov,University of Bristol – School of Biological Sciences
Dept,New,Bronze,2014,Nov,University of Bristol – School of Geographical Sciences
Dept,New,Bronze,2014,Nov,University of Bristol – School of Mathematics
Dept,New,Bronze,2014,Nov,University of Cambridge – Centre for Stem Cell Research
Dept,New,Bronze,2014,Nov,University of Cambridge – Department of Genetics
Dept,New,Bronze,2014,Nov,university of Cambridge – Sainsbury Laboratory
Dept,New,Bronze,2014,Nov,University of Dundee – Centre for Anatomy and Human Identification
Dept,New,Bronze,2014,Nov,University of Dundee – College of Life Sciences
Dept,New,Bronze,2014,Nov,University of East Anglia – School of Psychology
Dept,New,Bronze,2014,Nov,University of Essex – School of Biological Sciences
Dept,New,Bronze,2014,Nov,University of Exeter – Biosciences
Dept,New,Bronze,2014,Nov,University of Exeter – Geography
Dept,New,Bronze,2014,Nov,University of Hertfordshire – School of Computer Science
Dept,New,Bronze,2014,Nov,University of Hertfordshire – School of Health and Social Work
Dept,New,Bronze,2014,Nov,University of Hertfordshire – School of Life and Medical Sciences
Dept,New,Bronze,2014,Nov,"University of Hertfordshire – School of Physics, Astronomy and Mathematics"
Dept,New,Bronze,2014,Nov,University of Kent – School of Biosciences
Dept,New,Bronze,2014,Nov,University of Kent – School of Computing
Dept,New,Bronze,2014,Nov,University of Kent – School of Engineering and Digital Arts
Dept,New,Bronze,2014,Nov,University of Kent – School of Physical Sciences
Dept,New,Bronze,2014,Nov,University of Leicester – Department of Mathematics
Dept,New,Bronze,2014,Nov,"University of Liverpool – School of Electrical Engineering, Electronics and Computer Science"
Dept,New,Bronze,2014,Nov,"University of Manchester – School of Earth, Atmospheric and Environmental Sciences"
Dept,New,Bronze,2014,Nov,University of Oxford – Department of Computer Science
Dept,New,Bronze,2014,Nov,University of Sheffield – Department of Automatic Control and Systems Engineering
Dept,New,Bronze,2014,Nov,University of Sheffield – Department of Psychology
Dept,New,Bronze,2014,Nov,University of Southampton – Health Sciences 
Dept,New,Bronze,2014,Nov,University of Southampton – Mathematical Sciences and Southampton Statistical Sciences Institute
Dept,New,Bronze,2014,Nov,University of Southampton – Physics and Astronomy
Dept,New,Bronze,2014,Nov,University of Strathclyde – Chemical and Process Engineering
Dept,New,Bronze,2014,Nov,University of Strathclyde – Department of Mathematics and Statistics
Dept,New,Bronze,2014,Nov,University of Surrey – Centre for Environmental Strategy
Dept,New,Bronze,2014,Nov,University of Surrey – Department of Electronic Engineering
Dept,New,Bronze,2014,Nov,University of Surrey – School of Biosciences and Medicine
Dept,New,Bronze,2014,Nov,University of Surrey – School of Health Sciences
Dept,New,Bronze,2014,Nov,University of Sussex – School of Engineering and Informatics
Dept,New,Bronze,2014,Nov,"University of the West of England, Bristol – Department of Engineering Design and Mathematics"
Dept,Renewal,Bronze,2014,Nov,Keele University – School of Medicine and Institute for Science and Technology in Medicine 
Dept,Renewal,Bronze,2014,Nov,University of Cambridge – Department of Psychology 
Dept,Renewal,Bronze,2014,Nov,University of East Anglia – School of Biological Sciences 
Dept,Renewal,Bronze,2014,Nov,University of East Anglia – School of Pharmacy 
Dept,Renewal,Bronze,2014,Nov,University of Leeds – School of Healthcare 
Dept,Renewal,Bronze,2014,Nov,University of Leeds – School of Medicine 
Dept,Renewal,Bronze,2014,Nov,University of Liverpool – Institute of Infection and Global Health
Dept,Renewal,Bronze,2014,Nov,University of Warwick – School of Life Sciences 
Institution,New,Bronze,2014,Nov,Abertay University
Institution,New,Bronze,2014,Nov,Anglia Ruskin University
Institution,New,Bronze,2014,Nov,Edinburgh Napier University
Institution,New,Bronze,2014,Nov,MRC Cognition and Brain Sciences Unit
Institution,New,Bronze,2014,Nov,MRC Toxicology Unit
Institution,New,Bronze,2014,Nov,University of Chester
Institution,New,Bronze,2014,Nov,University of Greenwich
Institution,New,Bronze,2014,Nov,University of Hertfordshire
Institution,Renewal,Bronze,2014,Nov,Aston University 
Institution,Renewal,Bronze,2014,Nov,Bangor University 
Institution,Renewal,Bronze,2014,Nov,Durham University 
Institution,Renewal,Bronze,2014,Nov,Lancaster University 
Institution,Renewal,Bronze,2014,Nov,London School of Hygiene & Tropical Medicine 
Institution,Renewal,Bronze,2014,Nov,University of Birmingham 
Institution,Renewal,Bronze,2014,Nov,University of Exeter 
Institution,Renewal,Bronze,2014,Nov,University of Leicester 
Institution,Renewal,Bronze,2014,Nov,University of Manchester 
Dept,New,Silver,2014,Nov,Imperial College London – Department of Medicine
Dept,New,Silver,2014,Nov,King’s College London – Dental Institute
Dept,New,Silver,2014,Nov,"King’s College London – Florence Nightingale Faculty of Nursing & Midwifery
"
Dept,New,Silver,2014,Nov,"King’s College London – Institute of Psychiatry, Psychology and Neuroscience"
Dept,New,Silver,2014,Nov,London School of Hygiene and Tropical Medicine – Faculty of Public Health and Policy
Dept,New,Silver,2014,Nov,Loughborough University – Department of Mathematical Sciences and Mathematics Education Centre
Dept,New,Silver,2014,Nov,Newcastle University – Institute of Neuroscience
Dept,New,Silver,2014,Nov,Newcastle University – Northern Institute for Cancer Research
Dept,New,Silver,2014,Nov,Oxford Brookes University – Faculty of Health and Life Sciences
Dept,New,Silver,2014,Nov,"Queen Mary, University of London – Barts and The London School of Medicine"
Dept,New,Silver,2014,Nov,University College London – Department of Physics and Astronomy
Dept,New,Silver,2014,Nov,University of East Anglia – Norwich Medical School
Dept,New,Silver,2014,Nov,University of Exeter – College of Life and Environmental Sciences
Dept,New,Silver,2014,Nov,University of Manchester – School of Psychological Sciences
Dept,New,Silver,2014,Nov,University of Oxford – Department of Physics
Dept,New,Silver,2014,Nov,University of Oxford – Department of Psychiatry
Dept,New,Silver,2014,Nov,University of Oxford – Nuffield Department of Medicine (NDM)
Dept,New,Silver,2014,Nov,University of Southampton – Chemistry
Dept,Renewal,Silver,2014,Nov,"Queen’s University Belfast – School of Electronics, Electrical Engineering and Computer Science "
Dept,Renewal,Silver,2014,Nov,Queen’s University Belfast – School of Mechanical and Aerospace Engineering 
Dept,Renewal,Silver,2014,Nov,University of Nottingham – Faculty of Engineering 
Institution,New,Silver,2014,Nov,Babraham Institute
Institution,Renewal,Silver,2014,Nov,Queen’s University Belfast 
Dept,New,Bronze,2014,Apr,Brunel University – Department of Maths
Dept,New,Bronze,2014,Apr,Durham University – Department of Chemistry
Dept,New,Bronze,2014,Apr,Imperial College London – Department of Surgery and Cancer
Dept,New,Bronze,2014,Apr,Imperial College London – Institute of Clinical Sciences and MRC Clinical Sciences Centre
Dept,New,Bronze,2014,Apr,"King’s College London – Division of Asthma, Allergy and Lung Biology"
Dept,New,Bronze,2014,Apr,King’s College London – Division of Imaging Sciences and Biomedical Engineering
Dept,New,Bronze,2014,Apr,"King’s College London – Division of Palliative Care, Policy and Rehabilitation"
Dept,New,Bronze,2014,Apr,King’s College London – Faculty of Natural and Mathematical Sciences
Dept,New,Bronze,2014,Apr,London School of Hygiene and Tropical Medicine – Faculty of Infectious and Tropical Diseases
Dept,New,Bronze,2014,Apr,Loughborough University – Design School
Dept,New,Bronze,2014,Apr,"Newcastle University – School of Agriculture, Food and Rural Development"
Dept,New,Bronze,2014,Apr,Newcastle University –School of Civil Engineering and Geosciences
Dept,New,Bronze,2014,Apr,University College London – UCL Institute of Cardiovascular Sciences
Dept,New,Bronze,2014,Apr,University of Bath – Department of Pharmacy and Pharmacology
Dept,New,Bronze,2014,Apr,University of Birmingham – School of Psychology
Dept,New,Bronze,2014,Apr,University of Bristol – School of Physics
Dept,New,Bronze,2014,Apr,University of Cambridge – Department of Biochemistry
Dept,New,Bronze,2014,Apr,"University of Cambridge – Department of Physiology, Development and Neuroscience"
Dept,New,Bronze,2014,Apr,University of Cambridge – Wellcome Trust/Cancer Research UK Gurdon Institute
Dept,New,Bronze,2014,Apr,"University of Dundee – College of Medicine, Dentistry and Nursing"
Dept,New,Bronze,2014,Apr,University of East Anglia – School of Environmental Sciences
Dept,New,Bronze,2014,Apr,University of East Anglia – School of Nursing Sciences
Dept,New,Bronze,2014,Apr,University of East Anglia – School of Rehabilitation Sciences
Dept,New,Bronze,2014,Apr,University of Exeter – Department of Mathematics and Computer Science
Dept,New,Bronze,2014,Apr,University of Exeter – Psychology
Dept,New,Bronze,2014,Apr,University of Glasgow – Institute of Health and Wellbeing
Dept,New,Bronze,2014,Apr,University of Glasgow – School of Chemistry
Dept,New,Bronze,2014,Apr,"University of Kent – School of Mathematics, Statistics and Actuarial Science"
Dept,New,Bronze,2014,Apr,University of Leeds – Faculty of Biological Sciences
Dept,New,Bronze,2014,Apr,University of Leicester – Department of Biochemistry
Dept,New,Bronze,2014,Apr,University of Leicester – Department of Cell Physiology and Pharmacology
Dept,New,Bronze,2014,Apr,University of Liverpool – School of Engineering
Dept,New,Bronze,2014,Apr,University of Liverpool – School of Physical Sciences
Dept,New,Bronze,2014,Apr,University of Manchester – School of Electrical and Electronic Engineering
Dept,New,Bronze,2014,Apr,University of Nottingham – School of Biosciences
Dept,New,Bronze,2014,Apr,University of Nottingham – School of Medicine
Dept,New,Bronze,2014,Apr,"University of Nottingham, Malaysia Campus – Faculty of Science"
Dept,New,Bronze,2014,Apr,University of Oxford – Department of Statistics
Dept,New,Bronze,2014,Apr,University of Sheffield – Department of Nursing and Midwifery
Dept,New,Bronze,2014,Apr,University of St Andrews – School of Mathematics and Statistics
Dept,New,Bronze,2014,Apr,University of St Andrews – School of Psychology and Neuroscience
Dept,New,Bronze,2014,Apr,University of Strathclyde – Department of Mechanical and Aerospace Engineering
Dept,New,Bronze,2014,Apr,University of Sussex – Department of Physics and Astronomy
Dept,New,Bronze,2014,Apr,University of Sussex – School of Life Sciences
Dept,New,Bronze,2014,Apr,University of the West of England – Departments of Allied Health Professions and Nursing and Midwifery
Dept,New,Bronze,2014,Apr,University of Warwick – Department of Computer Science
Dept,New,Bronze,2014,Apr,University of York – Centre for Health Economics
Dept,New,Bronze,2014,Apr,University of York – Environment Department
Dept,Renew,Bronze,2014,Apr,Aston University – School of Life and Health Sciences
Dept,Renew,Bronze,2014,Apr,University of Leicester – School of Psychology
Dept,Renew,Bronze,2014,Apr,University of Southampton – Faculty of Medicine
Institution,New,Bronze,2014,Apr,Aberystwyth University
Institution,New,Bronze,2014,Apr,Centre for Ecology and Hydrology
Institution,New,Bronze,2014,Apr,Liverpool John Moores University
Institution,New,Bronze,2014,Apr,Rothamsted Research
Institution,New,Bronze,2014,Apr,University of Central Lancashire
Institution,New,Bronze,2014,Apr,University of Lincoln
Institution,New,Bronze,2014,Apr,University of Portsmouth
Institution,Renew,Bronze,2014,Apr,Cardiff University
Institution,Renew,Bronze,2014,Apr,Keele University
Institution,Renew,Bronze,2014,Apr,Loughborough University
Institution,Renew,Bronze,2014,Apr,"Royal Holloway, University of London"
Institution,Renew,Bronze,2014,Apr,University of Strathclyde
Dept,New,Silver,2014,Apr,King’s College London – Cardiovascular Division
Dept,New,Silver,2014,Apr,King’s College London – Division of Women’s Health
Dept,New,Silver,2014,Apr,Queen’s University Belfast – School of Pharmacy
Dept,New,Silver,2014,Apr,University College London – UCL Cancer Institute
Dept,New,Silver,2014,Apr,University of Birmingham – School of Physics and Astronomy
Dept,New,Silver,2014,Apr,University of Edinburgh – School of Physics and Astronomy
Dept,New,Silver,2014,Apr,University of Edinburgh – The Roslin Institute
Dept,New,Silver,2014,Apr,University of Exeter – Sport and Health Sciences
Dept,New,Silver,2014,Apr,University of Exeter – University of Exeter Medical School
Dept,New,Silver,2014,Apr,University of Liverpool – the Institute of Ageing and Chronic Disease
Dept,New,Silver,2014,Apr,University of Manchester – Manchester Pharmacy School
Dept,New,Silver,2014,Apr,University of Sheffield – School of Health and Related Research
Dept,New,Silver,2014,Apr,University of St Andrews – School of Chemistry
Dept,Renew,Silver,2014,Apr,Imperial College London – Department of Chemical Engineering
Dept,Renew,Silver,2014,Apr,Imperial College London – National Heart and Lung institute
Dept,Renew,Silver,2014,Apr,Keele University – School of Life Sciences
Dept,Renew,Silver,2014,Apr,Newcastle University – Institute of Health and Society
Dept,Renew,Silver,2014,Apr,University of Edinburgh – School of Biomedical Sciences
Dept,Renew,Silver,2014,Apr,University of York – Department of Physics
Institution,New,Silver,2014,Apr,University of Cambridge
Dept,N/A,Bronze,2013,Nov,"Durham University, School of Medicine, Pharmacy and Health"
Dept,N/A,Bronze,2013,Nov,"Imperial College London, Department of Computing"
Dept,N/A,Bronze,2013,Nov,"Newcastle University, Institute of Genetic Medicine"
Dept,N/A,Bronze,2013,Nov,"Queen Mary, University of London, Institute of Dentistry"
Dept,N/A,Bronze,2013,Nov,"Swansea University, College of Medicine"
Dept,N/A,Bronze,2013,Nov,"The Open University, Department of Mathematics and Statistics"
Dept,N/A,Bronze,2013,Nov,"The Open University, Department of Physical Sciences"
Dept,N/A,Bronze,2013,Nov,"University College London, Department of Chemistry"
Dept,N/A,Bronze,2013,Nov,"University College London, Department of Mathematics"
Dept,N/A,Bronze,2013,Nov,"University College London, Division of Surgery and Interventional Science"
Dept,N/A,Bronze,2013,Nov,"University College London, Eastman Dental Institute"
Dept,N/A,Bronze,2013,Nov,"University College London, UCL Ear Institute"
Dept,N/A,Bronze,2013,Nov,"University of Birmingham, School of Chemical Engineering"
Dept,N/A,Bronze,2013,Nov,"University of Birmingham, School of Geography, Earth and Environmental Science"
Dept,N/A,Bronze,2013,Nov,"University of Bristol, School of Experimental Psychology"
Dept,N/A,Bronze,2013,Nov,"University of Cambridge, Department of Pharmacology"
Dept,N/A,Bronze,2013,Nov,"University of Cambridge, Department of Psychology"
Dept,N/A,Bronze,2013,Nov,"University of Cambridge, Department of Zoology"
Dept,N/A,Bronze,2013,Nov,"University of Cambridge, Faculty of Mathematics"
Dept,N/A,Bronze,2013,Nov,"University of East Anglia, Norwich Medical School"
Dept,N/A,Bronze,2013,Nov,"University of Edinburgh, Department of Psychology"
Dept,N/A,Bronze,2013,Nov,"University of Edinburgh, Edinburgh School of Architecture and Landscape Architecture"
Dept,N/A,Bronze,2013,Nov,"University of Edinburgh, School of Clinical Sciences and School of Molecular, Genetic and Population Health Sciences"
Dept,N/A,Bronze,2013,Nov,"University of Edinburgh, School of Health in Social Science"
Dept,N/A,Bronze,2013,Nov,"University of Glasgow, Institute of Biodiversity, Animal Health and Comparative Medicine"
Dept,N/A,Bronze,2013,Nov,"University of Glasgow, School of Geographical and Earth Sciences"
Dept,N/A,Bronze,2013,Nov,"University of Leicester, Department of Infection, Immunity and Inflammation"
Dept,N/A,Bronze,2013,Nov,"University of Liverpool, Institute of Infection and Global Health"
Dept,N/A,Bronze,2013,Nov,"University of Liverpool, Institute of Psychology, Health and Society"
Dept,N/A,Bronze,2013,Nov,"University of Manchester, School of Computer Science"
Dept,N/A,Bronze,2013,Nov,"University of Manchester, School of Materials"
Dept,N/A,Bronze,2013,Nov,"University of Manchester, School of Mathematics"
Dept,N/A,Bronze,2013,Nov,"University of Manchester, School of Mechanical, Aerospace and Civil Engineering"
Dept,N/A,Bronze,2013,Nov,"University of Manchester, School of Physics and Astronomy"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Department of Oncology"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Department of Pharmacology"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Nuffield Department of Population Health"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Nuffield Division of Clinical Laboratory Sciences"
Dept,N/A,Bronze,2013,Nov,"University of Oxford, Sir William Dunn School of Pathology"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, Department of Biomedical Science"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, Department of Chemistry"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, Department of Electronic and Electrical Engineering"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, Department of Molecular Biology and Biotechnology"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, Department of Physics and Astronomy"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, School of Clinical Dentistry"
Dept,N/A,Bronze,2013,Nov,"University of Sheffield, School of Mathematics and Statistics"
Dept,N/A,Bronze,2013,Nov,"University of Southampton, Centre for Biological Sciences"
Dept,N/A,Bronze,2013,Nov,"University of Strathclyde, Department of Physics"
Dept,N/A,Bronze,2013,Nov,"University of York, Department of Mathematics"
Dept,N/A,Bronze,2013,Nov,"University of York, Hull York Medical School"
Institution,N/A,Bronze,2013,Nov,Kingston University
Institution,N/A,Bronze,2013,Nov,Liverpool School of Tropical Medicine
Institution,N/A,Bronze,2013,Nov,Plymouth University
Institution,N/A,Bronze,2013,Nov,"Queen Mary, University of London"
Institution,N/A,Bronze,2013,Nov,"St George’s, University of London"
Institution,N/A,Bronze,2013,Nov,University of Bath
Institution,N/A,Bronze,2013,Nov,University of Bristol
Institution,N/A,Bronze,2013,Nov,University of Dundee
Institution,N/A,Bronze,2013,Nov,University of Kent
Institution,N/A,Bronze,2013,Nov,University of Liverpool
Institution,N/A,Bronze,2013,Nov,University of Oxford
Institution,N/A,Bronze,2013,Nov,University of South Wales
Institution,N/A,Bronze,2013,Nov,University of Sunderland
Institution,N/A,Bronze,2013,Nov,University of Ulster
Institution,N/A,Bronze,2013,Nov,University of York
Dept,N/A,Gold,2013,Nov,"Queen’s University Belfast, School of Psychology"
Dept,N/A,Gold,2013,Nov,"University of Cambridge, Department of Physics"
Dept,N/A,Gold,2013,Nov,"University of York, Department of Biology"
Dept,N/A,Silver,2013,Nov,"Aston University, School of Engineering and Applied Sciences"
Dept,N/A,Silver,2013,Nov,"Imperial College London, Department of Materials"
Dept,N/A,Silver,2013,Nov,"Imperial College London, School of Public Health"
Dept,N/A,Silver,2013,Nov,"Lancaster University, Department of Physics"
Dept,N/A,Silver,2013,Nov,"Lancaster University, Faculty of Health and Medicine"
Dept,N/A,Silver,2013,Nov,"Queen’s University Belfast, School of Chemistry and Chemical Engineering"
Dept,N/A,Silver,2013,Nov,"University College London, Department of Chemical Engineering"
Dept,N/A,Silver,2013,Nov,"University College London, Division of Infection and Immunity"
Dept,N/A,Silver,2013,Nov,"University College London, Institute of Child Health"
Dept,N/A,Silver,2013,Nov,"University College London, Institute of Epidemiology and Health Care"
